term	keep
1	0
1	0
5	0
10	0
100	0
11	0
12	0
12 healthy	0
13	0
14	0
14 healthy	0
15	0
15 healthy	0
16	0
16 healthy	0
17	0
18	0
18 healthy	0
19	0
20	0
20 healthy	0
200	0
2014	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
3d	0
3t	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
60	0
70	0
75	0
80	0
90	0
aberrant	0
abilities	1
ability	1
able	0
abnormal	0
abnormalities	0
abnormality	0
absence	0
absent	0
abstract	1
abuse	1
acc	1
access	
accompanied	
accordance	
according	
accordingly	
account	
accounted	
accounts	
accumbens	1
accuracy	1
accurate	1
accurately	1
achieve	
achieved	
acoustic	1
acquired	
acquisition	
act	1
action	1
action observation	1
actions	1
activate	
activates	
activations	
active	
actively	
activities	
acts	1
actual	
actually	
acute	
ad	1
adaptation	1
adapted	
adaptive	
add	1
addiction	1
addition	1
additional	
additionally	
addressed	
adhd	1
adjacent	
administered	
administration	
adolescence	1
adolescent	1
adolescents	1
adopted	
adult	1
adulthood	1
adults	1
advance	
advanced	
advances	
advantage	
affect	1
affected	
affecting	
affective	1
affects	
age	1
age controls	
age gender	
age groups	
age healthy	
age sex	
aged	
agent	1
ages	
aging	1
agreement	
aim	
aimed	
aims	
al	1
alcohol	1
alff	1
algorithm	
allele	
allocation	
allow	
allowed	
allowing	
allows	
alpha	1
alter	
alteration	
alterations	
altered	
alternating	
alternative	
alters	
alzheimer	1
alzheimer disease	1
ambiguous	1
amnestic	1
amplitude	
amplitude low	
amplitudes	
amygdala	1
amygdala anterior	1
amygdala hippocampus	1
amygdala insula	1
amygdala response	1
amygdala responses	1
analysed	
analyses	
analyze	
analyzed	
analyzed using	
analyzing	
anatomical	
anatomically	
anatomy	
anger	1
angry	1
angular	1
angular gyrus	1
animal	1
animals	1
anisotropy	
anisotropy fa	
anterior	1
anterior cingulate	1
anterior hippocampus	1
anterior insula	1
anterior insular	1
anterior intraparietal	1
anterior medial	1
anterior posterior	1
anterior prefrontal	1
anterior superior	1
anterior temporal	1
anti	
anticipation	1
anticipatory	1
anxiety	1
anxiety disorders	1
apart	
aphasia	1
apparent	
appear	
appeared	
appears	
application	
applied	
apply	
applying	
appraisal	1
approach	1
approaches	
appropriate	
approximately	
architecture	
argue	
arise	
arithmetic	1
arm	1
arousal	1
arterial	1
arterial spin	1
articulatory	1
asd	1
asked	
aspect	
aspects	
assess	
assessed	
assessed using	
assessing	
assessment	
assessments	
assigned	
association	1
associations	1
associative	1
assume	
assumed	
assumption	
asymmetry	1
atrophy	1
attempt	
attempted	
attend	1
attended	1
attending	1
attention	1
attention deficit	1
attention network	1
attention task	1
attentional	1
attentional control	1
attenuated	
attenuation	1
attributed	
attributes	
attribution	
atypical	
audiovisual	1
auditory	1
auditory cortex	1
auditory stimuli	1
auditory visual	1
autism	1
autism spectrum	1
autobiographical	1
autobiographical memory	1
automated	
automatic	
automatically	
autonomic	1
available	
average	
aversive	1
avoid	1
avoidance	1
awareness	1
away	
axis	
ba	1
ba 44	1
background	
balance	1
band	
bands	
basal	1
basal ganglia	1
baseline	1
bases	
basic	
basis	
bayesian	
beginning	
behavior	1
behavioral	1
behavioral evidence	
behavioral level	
behavioral measures	1
behavioral performance	1
behavioral responses	1
behaviorally	
behaviors	1
behaviour	
behavioural	
belief	1
beliefs	1
believed	
beneficial	
benefit	
benefits	
best	
beta	1
better	
better understanding	
bias	1
biased	
biases	
bilaterally	1
bilinguals	1
binding	1
biological	
biomarker	1
biomarkers	1
bipolar	1
bipolar disorder	1
blind	1
block	
block design	
blocked	
blocks	
blood	
blood flow	
blood oxygen	
blood oxygenation	
bodily	1
body	1
bold	
bold response	
bold responses	
bold signal	
bold signals	
brains	1
brainstem	1
brief	
broad	
broader	
broca	1
brodmann	1
